Date,MARA,RIOT,SMCI,SOFI,RIVN
2021-04-22,22212700,27895100,2399000,3141200,
2021-04-23,21697800,25722600,2118000,3029400,
2021-04-26,20890200,19234300,1804000,1964800,
2021-04-27,12994300,13779300,1539000,2583000,
2021-04-28,20558200,15088700,1379000,1771200,
2021-04-29,15562100,12765300,1063000,2095200,
2021-04-30,22154500,15422800,2398000,1385100,
2021-05-03,17671200,14120700,1919000,1636500,
2021-05-04,14261900,15015600,2466000,1985800,
2021-05-05,15077600,12083500,2728000,290200,
2021-05-06,13903800,14595100,2279000,2630300,
2021-05-07,11735100,11020900,1639000,5987800,
2021-05-10,17201100,15802800,2056000,4997000,
2021-05-11,23322000,19802800,1679000,5043000,
2021-05-12,20186900,15277500,1941000,4218100,
2021-05-13,33368400,36110500,2064000,3765200,
2021-05-14,24535800,22633700,2226000,2838700,
2021-05-17,19471000,19807500,1092000,2563400,
2021-05-18,16461700,24456900,1812000,5163700,
2021-05-19,33073100,41600100,1589000,4685700,
2021-05-20,22823400,24949500,1236000,5498600,
2021-05-21,20760500,24553800,1699000,3054800,
2021-05-24,22112000,22951100,1484000,5276200,
2021-05-25,13849400,16489500,1942000,9338500,
2021-05-26,23333400,28262400,1229000,6073300,
2021-05-27,20543600,23524200,3718000,4097900,
2021-05-28,12356100,13679800,1745000,5370500,
2021-06-01,11831000,14647700,1952000,9159400,
2021-06-02,12685500,14458600,4564000,14678900,
2021-06-03,9132900,11061800,1080000,5879000,
2021-06-04,8142400,9402500,973000,13434200,
2021-06-07,7793100,8729900,1671000,4755400,
2021-06-08,13667200,13799500,1299000,11306900,
2021-06-09,17945200,21515700,1571000,9407300,
2021-06-10,12889400,14163500,905000,6526500,
2021-06-11,7224800,8444000,831000,2769400,
2021-06-14,20040200,25489000,1262000,4099800,
2021-06-15,14980400,12984900,1962000,3531200,
2021-06-16,10244900,10166400,1261000,9596000,
2021-06-17,11472600,10132200,1746000,7359600,
2021-06-18,9797000,10785800,3222000,5991500,
2021-06-21,10225800,11017900,2228000,3590300,
2021-06-22,18428400,17705200,1970000,6586300,
2021-06-23,9348300,10016800,1786000,5328500,
2021-06-24,10040900,9375400,1268000,6475100,
2021-06-25,22895500,18800900,7820000,36679200,
2021-06-28,10762600,11326700,1188000,56821000,
2021-06-29,14213800,14903700,937000,57158300,
2021-06-30,9633700,8321200,2181000,27479600,
2021-07-01,5881700,6548200,1229000,19839100,
2021-07-02,4748900,4630200,1439000,25687900,
2021-07-06,5946400,6065900,1422000,20245500,
2021-07-07,5634100,5920300,1466000,17530000,
2021-07-08,5225900,5669600,1406000,18443700,
2021-07-09,4204500,5794600,3849000,17663000,
2021-07-12,4555300,5351100,1658000,14071000,
2021-07-13,4209000,4132900,2295000,16623000,
2021-07-14,4784000,5016900,2560000,19069000,
2021-07-15,4665000,4710500,2657000,16186000,
2021-07-16,4749100,4685500,2676000,14214600,
2021-07-19,5960300,6156000,2979000,14780900,
2021-07-20,6292400,6995500,2483000,11683000,
2021-07-21,10684900,11923100,1311000,27892400,
2021-07-22,6719800,7155500,945000,18833300,
2021-07-23,5328100,7639700,695000,10370000,
2021-07-26,18732800,23666900,992000,8994900,
2021-07-27,8900700,8746200,1161000,16735400,
2021-07-28,6461800,8729100,1182000,10131600,
2021-07-29,6233000,7116200,1888000,12748300,
2021-07-30,4791900,5497300,1868000,6653700,
2021-08-02,9763700,11575900,1775000,15097600,
2021-08-03,7987500,8041900,1363000,16166800,
2021-08-04,9121700,9251100,1934000,25718500,
2021-08-05,11624200,10273800,1951000,14501500,
2021-08-06,17648900,11749500,1963000,13993700,
2021-08-09,18631500,24700600,2981000,15571300,
2021-08-10,8647700,12301900,2374000,12830200,
2021-08-11,8581600,14019100,3618000,17104700,
2021-08-12,6146300,7247000,3219000,35861400,
2021-08-13,9910400,9797000,3036000,59983500,
2021-08-16,6224800,7496200,2510000,26155000,
2021-08-17,7216500,7874600,2037000,31925000,
2021-08-18,6087400,7315800,1186000,20754500,
2021-08-19,8219200,9289800,1614000,15576700,
2021-08-20,15533200,11635900,1556000,17618000,
2021-08-23,19439800,11981400,1226000,13277100,
2021-08-24,10997100,11224100,1442000,13649900,
2021-08-25,9732400,12404600,1474000,13785300,
2021-08-26,7795500,6640400,2488000,16743800,
2021-08-27,13083300,12115300,3027000,19756400,
2021-08-30,9673400,7975600,2546000,15445700,
2021-08-31,8161900,7035300,5254000,14530700,
2021-09-01,9554300,15357400,1768000,16856500,
2021-09-02,10899600,16653700,1498000,19534100,
2021-09-03,12697600,16981200,1512000,18793200,
2021-09-07,15592800,17896400,1130000,21664600,
2021-09-08,7771900,8526800,1187000,15621400,
2021-09-09,9530900,8909300,1109000,18395800,
2021-09-10,8576200,9130000,1411000,17029500,
2021-09-13,8485100,10625200,1109000,20253100,
2021-09-14,7443600,7461800,1272000,24475700,
2021-09-15,9514000,9600100,1210000,34832000,
2021-09-16,6203800,7185700,977000,24121300,
2021-09-17,6082300,6795600,4647000,55126300,
2021-09-20,8322100,10260900,2115000,27954600,
2021-09-21,6551400,6340400,2585000,23601500,
2021-09-22,8110800,6237000,1637000,55383300,
2021-09-23,7151300,6239100,1540000,29369500,
2021-09-24,8227600,7881500,1068000,22923000,
2021-09-27,5463400,6440900,1399000,35517600,
2021-09-28,5648300,6685000,1269000,25569500,
2021-09-29,7559700,5357900,900000,38323200,
2021-09-30,6362900,6539400,1269000,38688800,
2021-10-01,8287800,9501500,891000,18850300,
2021-10-04,7867000,8385400,788000,21849700,
2021-10-05,11565400,10643900,759000,13941200,
2021-10-06,15438700,16411900,1431000,11896400,
2021-10-07,8015100,9209300,1413000,15267800,
2021-10-08,7564200,8259200,512000,11054400,
2021-10-11,14174500,16105900,595000,69669600,
2021-10-12,10236200,12790200,1017000,47239700,
2021-10-13,9918800,10188000,1111000,31335900,
2021-10-14,10298100,9822100,1636000,33917700,
2021-10-15,22547400,28983600,3294000,22190300,
2021-10-18,22345400,22704100,1287000,48421800,
2021-10-19,23597600,26639500,1291000,26292200,
2021-10-20,22137700,21216200,1296000,25757100,
2021-10-21,15392100,15225600,1203000,24771700,
2021-10-22,9819500,10903400,1024000,18994500,
2021-10-25,14915800,11337100,1135000,15053100,
2021-10-26,10082200,8672600,3700000,26725500,
2021-10-27,8853300,9726400,1073000,17585700,
2021-10-28,11053600,8482600,1832000,15070700,
2021-10-29,9944600,9420700,3371000,11538000,
2021-11-01,15363300,10537300,1541000,52780200,
2021-11-02,18599300,22518600,1735000,35482300,
2021-11-03,14060200,16720200,8587000,26468800,
2021-11-04,10292100,15392400,11788000,18496800,
2021-11-05,7396900,8936300,7256000,19635300,
2021-11-08,16719500,27320300,2578000,16884900,
2021-11-09,16497800,29118900,1802000,24573000,
2021-11-10,19254300,28296300,2333000,46108800,103679500.0
2021-11-11,10760600,13000400,1178000,72680100,83668200.0
2021-11-12,13218900,23594800,938000,29275500,50636800.0
2021-11-15,34932900,28541600,1584000,30384300,64982300.0
2021-11-16,27102900,27773800,2560000,41386800,94036600.0
2021-11-17,18385300,15912600,1447000,18998300,71765600.0
2021-11-18,13860500,18520100,1600000,25447500,63603600.0
2021-11-19,14141900,14420700,1850000,25321200,49479400.0
2021-11-22,13165700,16233200,1682000,39766000,40993900.0
2021-11-23,11340000,13270000,1326000,31341700,24967900.0
2021-11-24,8088600,11818400,1079000,28778600,11539200.0
2021-11-26,6711200,8234600,1884000,13253100,9871200.0
2021-11-29,11242800,16308300,2072000,23366900,13923900.0
2021-11-30,14540700,22146600,3548000,67190100,20204900.0
2021-12-01,18641100,22530900,3351000,34471500,13289700.0
2021-12-02,13241200,19444900,1762000,27033800,10835500.0
2021-12-03,16794900,24201300,1889000,64350700,13819200.0
2021-12-06,16394800,20225300,2012000,34134800,19725400.0
2021-12-07,11198800,13153600,1663000,30846600,12173300.0
2021-12-08,8408800,10704200,1529000,25262600,12816000.0
2021-12-09,11781500,13750900,1490000,32398900,8474800.0
2021-12-10,8529300,10045600,2192000,41344200,8387500.0
2021-12-13,11589800,11565900,1459000,40507500,14737500.0
2021-12-14,9912800,9702200,1409000,26707800,8057700.0
2021-12-15,15213100,14907600,2239000,33540400,10828600.0
2021-12-16,11334200,11068200,2796000,43018000,13627600.0
2021-12-17,11665000,13789400,4024000,44408700,44475000.0
2021-12-20,9289200,10172300,3541000,31658600,16072700.0
2021-12-21,9805900,8805400,1731000,27695600,12915100.0
2021-12-22,8122900,7726200,1888000,24332100,8644100.0
2021-12-23,15471700,13639500,1260000,19824000,5670100.0
2021-12-27,14334500,9713700,3247000,19826700,15497000.0
2021-12-28,12501100,9570900,1408000,24049700,8821300.0
2021-12-29,8734700,7342300,2500000,20899600,8754900.0
2021-12-30,10789500,8721600,1363000,41348700,10874700.0
2021-12-31,8982500,8680600,925000,30798200,5814900.0
2022-01-03,6798800,7226500,2522000,27500900,8346800.0
2022-01-04,10570500,11870000,3054000,34175900,12152200.0
2022-01-05,15872200,13214500,2963000,35103100,18645100.0
2022-01-06,10608000,11418300,1548000,46269400,39827100.0
2022-01-07,9316400,11922000,1360000,28716200,17515900.0
2022-01-10,11521500,9888300,1695000,37040300,17289800.0
2022-01-11,11142700,9509900,2053000,24517400,19970600.0
2022-01-12,14678500,9561000,1861000,24842400,14422800.0
2022-01-13,12245300,8280900,1677000,29900800,13677500.0
2022-01-14,9692000,6676400,3038000,32460700,15838000.0
2022-01-18,9234500,8587500,2581000,50314700,16803700.0
2022-01-19,9449800,8712000,4047000,186755800,15068400.0
2022-01-20,12531600,8606300,2331000,268936000,18642700.0
2022-01-21,17539900,17283700,2124000,135687400,19344700.0
2022-01-24,22122500,23197200,2353000,136949000,24115900.0
2022-01-25,14056100,10972500,1777000,72818300,16557200.0
2022-01-26,17840600,15108600,1661000,83654000,23694100.0
2022-01-27,12599000,11443800,1563000,83981800,23416400.0
2022-01-28,13896100,11342300,1900000,78767700,23965100.0
2022-01-31,12131500,10073400,2436000,73077100,18684900.0
2022-02-01,13900700,9900000,6249000,89022400,24476500.0
2022-02-02,11073700,8767200,8629000,73581200,15610300.0
2022-02-03,8835300,8051600,6119000,55485600,19776300.0
2022-02-04,19894200,15549200,3542000,46870800,14588500.0
2022-02-07,22861600,17911400,2829000,37906200,14782000.0
2022-02-08,12740300,10474500,2084000,32936100,12079200.0
2022-02-09,14937600,10223500,2203000,47536700,13343700.0
2022-02-10,20081600,14023000,2871000,57391400,17665400.0
2022-02-11,15399100,10814800,1849000,76947100,15293400.0
2022-02-14,12765700,7381600,1582000,73358600,26874500.0
2022-02-15,15775800,10252300,1995000,51170300,16267400.0
2022-02-16,10612800,6371100,1383000,58488200,12768300.0
2022-02-17,10745900,7025300,1297000,44690000,22387700.0
2022-02-18,10793200,6579100,2713000,59994500,14965900.0
2022-02-22,12002300,7301500,3737000,76018700,22737000.0
2022-02-23,11574400,7533100,2805000,62010000,22637000.0
2022-02-24,16630200,12252600,2322000,76026500,24082200.0
2022-02-25,12124700,7577600,3176000,46588100,13455200.0
2022-02-28,20632400,13831600,3127000,64380500,19270200.0
2022-03-01,21748400,13192400,3623000,107850300,17204100.0
2022-03-02,13294100,7997400,2610000,147527000,36559800.0
2022-03-03,9503000,7159100,1711000,70875700,28535500.0
2022-03-04,10856100,6567300,1750000,63130700,24392200.0
2022-03-07,10943700,8569000,2256000,54287700,22985200.0
2022-03-08,10851600,6858000,2738000,50878200,25165000.0
2022-03-09,15228000,10942800,1519000,53891100,15784700.0
2022-03-10,9376100,6341100,1764000,47638400,31481100.0
2022-03-11,8914600,5723900,1586000,71568500,42597900.0
2022-03-14,8346700,6032800,1998000,75632700,20756400.0
2022-03-15,8796100,4296400,1587000,52317400,19671300.0
2022-03-16,11982600,8028700,1999000,84406700,23752200.0
2022-03-17,11090600,10398100,1262000,67654100,17167200.0
2022-03-18,10161500,13580200,3294000,66667100,19770600.0
2022-03-21,8684300,8611900,1115000,39791700,13227000.0
2022-03-22,13227200,9264400,4410000,56998400,13110500.0
2022-03-23,8156700,7400900,1189000,38946300,12025100.0
2022-03-24,11874000,7709300,1150000,30175800,12804900.0
2022-03-25,12140800,7261400,1534000,42524700,10825100.0
2022-03-28,19226400,14306700,1592000,33300900,11018400.0
2022-03-29,11228200,8443900,2423000,72805100,26325300.0
2022-03-30,8076200,5626500,3358000,59785700,20271700.0
2022-03-31,8306200,6034400,2953000,33702800,12740900.0
2022-04-01,9201800,8035100,2423000,29654500,15244400.0
2022-04-04,8319500,6410300,2131000,34363300,15532900.0
2022-04-05,11188600,6467100,1410000,47197100,19576500.0
2022-04-06,10107300,9199600,1864000,56769400,22212700.0
2022-04-07,9526000,6392800,1804000,109248300,19428600.0
2022-04-08,9102800,6101400,2627000,39037800,10675700.0
2022-04-11,6768500,5646700,1645000,37461600,14206700.0
2022-04-12,10968500,6857800,1387000,58650300,14264500.0
2022-04-13,8389000,6376600,1073000,39309500,14068100.0
2022-04-14,8928500,6280400,2904000,42198000,9206100.0
